facilityType,program,orderable,maxPeriodsOfStock,minPeriodsOfStock,emergencyOrderPoint
HSP,EM,EM0322,6,3,1
HSP,EM,EM0323,6,3,1
HSP,EM,EM0324,6,3,1
HSP,EM,EM0325,6,3,1
HSP,EM,EM0326,6,3,1
HSP,EM,EM0327,6,3,1
HSP,EM,EM0328,6,3,1
HSP,EM,EM0329,6,3,1
HSP,EM,EM0330,6,3,1
HSP,EM,EM0331,6,3,1
HSP,EM,EM0332,6,3,1
HSP,EM,EM0333,6,3,1
HSP,EM,EM0334,6,3,1
HSP,EM,EM0335,6,3,1
HSP,EM,EM0336,6,3,1
HSP,EM,EM0337,6,3,1
HSP,EM,EM0338,6,3,1
HSP,EM,EM0339,6,3,1
HSP,EM,EM0340,6,3,1
HSP,EM,EM0341,6,3,1
HSP,EM,EM0342,6,3,1
HSP,EM,EM0343,6,3,1
HSP,EM,EM0344,6,3,1
HSP,EM,EM0345,6,3,1
HSP,EM,EM0346,6,3,1
HSP,EM,EM0347,6,3,1
HSP,EM,EM0348,6,3,1
HSP,EM,EM0349,6,3,1
HSP,EM,EM0350,6,3,1
HSP,EM,EM0351,6,3,1
HSP,EM,EM0352,6,3,1
HSP,EM,EM0353,6,3,1
HSP,EM,EM0354,6,3,1
HSP,EM,EM0355,6,3,1
HSP,EM,EM0356,6,3,1
HSP,EM,EM0357,6,3,1
HSP,EM,EM0358,6,3,1
HSP,EM,EM0359,6,3,1
HSP,EM,EM0360,6,3,1
HSP,EM,EM0361,6,3,1
HSP,EM,EM0362,6,3,1
HSP,EM,EM0363,6,3,1
HSP,EM,EM0364,6,3,1
HSP,EM,EM0365,6,3,1
HSP,EM,EM0366,6,3,1
HSP,EM,EM0367,6,3,1
HSP,LC,LC0001,6,3,1
HSP,LC,LC0002,6,3,1
HSP,LC,LC0003,6,3,1
HSP,LC,LC0004,6,3,1
HSP,LC,LC0005,6,3,1
HSP,LC,LC0006,6,3,1
HSP,LC,LC0007,6,3,1
HSP,LC,LC0008,6,3,1
HSP,LC,LC0009,6,3,1
HSP,LC,LC0010,6,3,1
HSP,LC,LC0011,6,3,1
HSP,LC,LC0012,6,3,1
HSP,LC,LC0013,6,3,1
HSP,LC,LC0014,6,3,1
HSP,LC,LC0015,6,3,1
HSP,LC,LC0016,6,3,1
HSP,LC,LC0017,6,3,1
HSP,LC,LC0018,6,3,1
HSP,LC,LC0019,6,3,1
HSP,LC,LC0020,6,3,1
HSP,LC,LC0021,6,3,1
HSP,LC,LC0022,6,3,1
HSP,LC,LC0023,6,3,1
HSP,LC,LC0024,6,3,1
HSP,LC,LC0025,6,3,1
HSP,LC,LC0026,6,3,1
HSP,LC,LC0027,6,3,1
HSP,LC,LC0028,6,3,1
HSP,LC,LC0029,6,3,1
HSP,LC,LC0030,6,3,1
HSP,LC,LC0031,6,3,1
HSP,LC,LC0032,6,3,1
HSP,LC,LC0033,6,3,1
HSP,LC,LC0034,6,3,1
HSP,LC,LC0035,6,3,1
HSP,LC,LC0036,6,3,1
HSP,LC,LC0037,6,3,1
HSP,LC,LC0038,6,3,1
HSP,LC,LC0039,6,3,1
HSP,LC,LC0040,6,3,1
HSP,LC,LC0041,6,3,1
HSP,LC,LC0042,6,3,1
HSP,LC,LC0043,6,3,1
HSP,LC,LC0044,6,3,1
HSP,LC,LC0045,6,3,1
HSP,LC,LC0046,6,3,1
HSP,LC,LC0047,6,3,1
HSP,LC,LC0048,6,3,1
HSP,LC,LC0049,6,3,1
HSP,LC,LC0050,6,3,1
HSP,LC,LC0051,6,3,1
HSP,LC,LC0052,6,3,1
HSP,LC,LC0053,6,3,1
HSP,LC,LC0054,6,3,1
HSP,LC,LC0055,6,3,1
HSP,LC,LC0056,6,3,1
HSP,LC,LC0057,6,3,1
HSP,LC,LC0058,6,3,1
HSP,LC,LC0059,6,3,1
HSP,LC,LC0060,6,3,1
HSP,LC,LC0061,6,3,1
HSP,LC,LC0062,6,3,1
HSP,LC,LC0063,6,3,1
HSP,LC,LC0064,6,3,1
HSP,LC,LC0065,6,3,1
HSP,LC,LC0066,6,3,1
HSP,LC,LC0067,6,3,1
